fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,acidity_ratio,sugar_acid_ratio,density_alcohol_interaction,sulfur_dioxide_ratio,chloride_acid_product,log_acidity,log_sulphates,random_variation,ph_sulphates,alcohol_squared,density_squared,acid_sulphate_ratio,clarity_score,clarity_grade,wine_clarity,region_id,wine_style_id,flavor_intensity,tannin_level,oak_aging_months,carbonation,country,state,smell,price,color,brand,vintage,grape_variety,wine_type,alcohol_content,region,wine_style,food_pairing,bottle_size_ml
7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,4.836601307,0.226190476,9.172584,0.307692308,1.221,2.128231706,0.620576488,0.062787806,2.8036,84.64,0.99404888,0.284946237,0.829732418,-2.704391632,0.220583538,-1.743672602,0.635100012,1.198368569,-1.878980945,-0.890696085,1.232728342,Canada,Barossa Valley,Floral,131.62,White,Screaming Eagle,1993,Cabernet Sauvignon,Red,12.5,Barossa Valley,Crisp,Cheese,375
8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5,5.120481928,0.221052632,9.175436,0.201754386,0.8245,2.251291799,0.392042088,0.090047022,1.5024,84.64,0.994667129,0.445945946,-0.995815395,0.793818467,0.107207962,-0.555280497,0.256783257,0.611601562,-0.415091337,-0.101197627,-0.76914528,Germany,Rioja,Earthy,52.74,Red,Moët & Chandon,2006,Merlot,White,13.8,Tuscany,Medium-bodied,Dessert,1000
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,5,0.233333333,9.861687,0.235849057,0.64,2.197224577,0.39877612,-0.030285746,1.617,98.01,0.992274977,0.402684564,0.732492103,-0.98453405,0.964155884,-0.940015932,-0.399770511,-0.588108599,1.55918229,-0.868831488,1.306280476,New Zealand,Tuscany,Earthy,45.96,White,Moët & Chandon,2021,Pinot Noir,Rosé,11.5,Napa Valley,Crisp,Dessert,750
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,7.401574803,0.230769231,11.9544,0.315789474,0.6956,2.341805806,0.75612198,0.0091671,3.616,144,0.99241444,0.126760563,1.12411272,0.286955854,0.549683186,-1.168177828,0.249609458,0.701389894,0.993740263,3.040686954,-2.335953619,New Zealand,Tuscany,Fruity,85.75,White,Penfolds,1999,Syrah,Dessert,13,Bordeaux,Rich,Steak,1500
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,4.1,0.25,8.97165,0.184210526,0.533,2.219203484,0.438254931,0.107197204,1.826,81,0.993709923,0.64516129,0.287124165,0.522250636,1.254338361,-1.568144313,0.735132113,0.522520766,-0.590221966,0.805239858,2.244682255,New Zealand,Tuscany,Fruity,71.32,Rosé,Château Margaux,2020,Cabernet Sauvignon,Red,12.5,Barossa Valley,Medium-bodied,Steak,1000
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,8.226950355,0.119047619,9.873765,0.523809524,1.102,2.533696814,0.565313809,-0.009817492,2.2952,98.01,0.994707023,0.232954545,0.75678868,0.18568858,-0.737379903,-0.627420734,1.375596964,0.779130626,0.656116202,-0.88060646,-0.318180718,Australia,California,Floral,90.96,White,Moët & Chandon,2006,Cabernet Sauvignon,Red,12.5,Mendoza,Full-bodied,Steak,750
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6,7.910447761,0.275862069,9.992,0.253164557,0.8268,2.451005098,0.530628251,0.041470279,2.233,100,0.99840064,0.2,0.151757992,-0.782003493,-1.125587114,-1.066032172,-1.722256934,-1.031106053,-1.038734434,-0.34798955,-0.200444983,Australia,California,Floral,66.28,White,Screaming Eagle,1995,Syrah,Dessert,13,Mendoza,Light-bodied,Steak,375
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,3.878116343,0.3125,9.57024,0.333333333,0.476,2.079441542,0.444685821,-0.013232842,1.9488,92.16,0.99380961,0.516025641,-0.037036797,-0.279810342,-1.373834825,0.158756051,-0.784163858,-1.424765654,-1.795982735,-0.18707427,-1.911642211,Chile,Bordeaux,Floral,122.29,White,Penfolds,2019,Merlot,White,13.8,Napa Valley,Medium-bodied,Dessert,1000
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6,6.506849315,0.257142857,9.98,0.311111111,0.874,2.351375257,0.553885113,0.058389103,2.3088,100,0.996004,0.264367816,1.661470166,-0.585927673,0.034029586,-0.367784527,1.178843444,-1.169315265,0.608984446,0.13175011,-1.2766182,Australia,Rioja,Woody,88.31,White,Robert Mondavi,1993,Cabernet Sauvignon,Red,12.5,Tuscany,Light-bodied,Seafood,1000
7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,6,5.642857143,0.202247191,9.47435,0.022222222,1.2403,2.186051277,0.652325186,0.048627722,3.036,90.25,0.99460729,0.208333333,0.160018226,-1.10226974,-0.002786111,0.038555169,0.052457387,0.538211605,0.077885727,-0.659059691,0.550556933,Greece,Tuscany,Fruity,48.48,White,Moët & Chandon,2011,Cabernet Sauvignon,Red,12.5,Mendoza,Full-bodied,Pasta,1000
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6,4.965517241,0.243902439,9.861291,0.344827586,0.5616,2.104134154,0.412109651,-0.030280777,1.6779,98.01,0.992195288,0.298013245,-0.846315977,-1.176962113,-0.263307807,0.815754487,0.331038903,1.830743825,0.267136296,-1.294931885,-0.203759513,Hungary,Tuscany,Earthy,117.43,White,Robert Mondavi,1993,Pinot Noir,Rosé,11.5,Bordeaux,Light-bodied,Pasta,750
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,7.76119403,0.324561404,11.2661,0.352941176,1.8096,2.433613355,0.530628251,0.006014782,2.233,127.69,0.994009,0.2,-0.817088631,-0.779852946,0.827236108,-0.863979849,-0.169274438,-0.597381061,0.486287305,0.166967623,-0.358446189,Austria,Barossa Valley,Woody,127.68,Red,Château Margaux,1996,Merlot,White,13.8,Tuscany,Crisp,Cheese,1500
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,4.539473684,0.329113924,10.96535,0.263157895,0.5589,2.066862759,0.405465108,-0.032580017,1.73,121,0.993709923,0.346666667,0.953136634,1.346225756,-1.236135796,0.440059929,-0.246571054,-0.600747931,-3.321114556,1.061784767,-1.864269837,France,California,Earthy,12.01,Red,Penfolds,2004,Syrah,Dessert,13,Barossa Valley,Rich,Seafood,500
8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6,5.945945946,0.336734694,10.4811,0.490566038,0.8096,2.282382386,0.425267735,-0.062232735,1.7543,110.25,0.99640324,0.31372549,1.484116029,0.513614464,-0.85153998,-0.233724058,2.585975176,0.214110982,-0.000478718,1.17384202,-0.884109141,Mexico,California,Floral,41.98,Rosé,Robert Mondavi,1993,Chardonnay,Sparkling,14.2,Barossa Valley,Crisp,Dessert,1000
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,6,6.131386861,0.191489362,9.08089,0.333333333,3.4692,2.240709689,0.722705983,0.047757116,3.2436,82.81,0.99580441,0.17961165,0.825098265,-0.43112557,0.819373268,0.476240353,0.665334535,0.120198559,0.509887248,-2.01500844,1.383424079,Germany,Rioja,Fruity,35.29,Rosé,Penfolds,1998,Syrah,Dessert,13,Napa Valley,Full-bodied,Cheese,500
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7,6.691176471,0.178217822,10.94445,0.375,0.546,2.312535424,0.598836501,0.024325082,2.6076,121,0.989925503,0.197802198,-0.194697296,1.074333005,-0.114472372,-1.235703022,-0.46385443,-0.527066118,0.485747147,0.386024619,0.907611811,South Africa,Rioja,Floral,92.47,Rosé,Château Margaux,1995,Merlot,White,13.8,Barossa Valley,Medium-bodied,Pasta,500
6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,4.367088608,0.240506329,9.669251,0.727272727,0.552,2.066862759,0.548121409,0.061914154,2.482,94.09,0.993670049,0.335260116,-0.336254739,-1.392735472,0.497788309,1.592964096,0.079579547,-0.224679902,-0.201038772,-0.464923014,-0.644808936,Mexico,California,Woody,98.23,Red,Robert Mondavi,1993,Syrah,Dessert,13,Napa Valley,Light-bodied,Steak,1000
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,4.532374101,0.191780822,9.25815,0.458333333,0.504,1.987874348,0.444685821,0.005546129,1.8704,86.49,0.99102025,0.25,1.873297776,0.6952029,-0.845673104,-0.821814828,-2.385113699,-0.64787229,0.641879061,0.54753982,-1.741764112,Australia,Rioja,Floral,116.57,White,Robert Mondavi,1991,Cabernet Sauvignon,Red,12.5,Barossa Valley,Medium-bodied,Cheese,1500
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,7.348484848,0.23364486,9.58464,0.333333333,0.9118,2.370243741,0.598836501,-0.130987255,2.6896,92.16,0.99680256,0.175824176,-0.922410184,0.881407529,1.3601159,0.037574859,-0.362499003,-0.924925816,0.808988609,0.327075218,-0.946800094,Japan,Rioja,Earthy,128.08,Red,Robert Mondavi,1992,Pinot Noir,Rosé,11.5,Bordeaux,Full-bodied,Cheese,500
